name,address,city,category,distance,lat,lon
Jaguar Animal Health,201 Mission St,San Francisco,veterinary,570,37.791146,-122.394866
Jaguar Animal Health,185 Berry St,San Francisco,veterinary,1567,37.776386,-122.391775
SoMa Animal Hospital,1110 4th St,San Francisco,veterinary,1800,37.773746,-122.391691
Polk Street Animal Hospital,1830 Polk St,San Francisco,veterinary,1902,37.794013,-122.421059
Fuzzy Pet Health,115 10th St,San Francisco,veterinary,1984,37.775175,-122.415359
Pet Lifestyle and You,71 Stevenson St,San Francisco,pet grooming,103,37.789307,-122.399704
CCA Wattis Institute for Contemporary Arts,360 Kansas St,San Francisco,bars,33,37.765297,-122.403953
Live Sushi Bar,2001 17th St,San Francisco,bars,71,37.7645,-122.403691
PARAGON Real Estate Group - Potrero Hill,350 Rhode Island St,San Francisco,bars,101,37.765346,-122.402881
Starbucks,350 Rhode Island St,San Francisco,bars,105,37.765796,-122.403409
Next Level Clucker San Francisco,450 Rhode Island St,San Francisco,bars,133,37.764592,-122.402908
Steep Brew,450 Rhode Island St,San Francisco,bars,139,37.7645,-122.402831
Allegro Coffee Company,450 Rhode Island St,San Francisco,bars,146,37.764435,-122.402827
Whole Foods,450 Rhode Island St,San Francisco,bars,167,37.764381,-122.40268
Dos Pinas,251 Rhode Island St,San Francisco,bars,188,37.766745,-122.402533
Two Sons Sandwiches,2249 17th St,San Francisco,bars,198,37.764407,-122.406194
Salsa Dance Classes with Tianne Frias,1830 17th St,San Francisco,clubs,202,37.765059,-122.401932
Metronome Ballroom,1830 17th St,San Francisco,clubs,210,37.764967,-122.401855
Castle SF,150 San Bruno Ave,San Francisco,clubs,295,37.767811,-122.406108
Mission Fusion,500 De Haro St,San Francisco,clubs,309,37.763183,-122.401678
The Great Northern,119 Utah St,San Francisco,clubs,320,37.768066,-122.406625
Sfsfl,2424 Mariposa St,San Francisco,clubs,371,37.763431,-122.407857
San Francisco Soccer Football League,2424 Mariposa St,San Francisco,clubs,375,37.763365,-122.407853
Starbucks,350 Rhode Island St,San Francisco,starbucks,105,37.765796,-122.403409
Whole Foods,450 Rhode Island St,San Francisco,vegan restaurants,167,37.764381,-122.40268
Torraku Ramen,300 De Haro St,San Francisco,vegan restaurants,215,37.765801,-122.402047
Martin de Porres House of Hospitality,225 Potrero Ave,San Francisco,vegan restaurants,310,37.766673,-122.407331
Peet's Coffee and Tea,2300 16th St,San Francisco,vegan restaurants,458,37.766531,-122.409186
Downtown High School,693 Vermont St,San Francisco,elementary school,408,37.761475,-122.403943
International Studies Academy,655 De Haro St,San Francisco,elementary school,455,37.761714,-122.400803
Live Oak School,1555 Mariposa St,San Francisco,elementary school,465,37.763509,-122.399117
San Francisco Unified School District Financing Corporation,655 De Haro St,San Francisco,elementary school,480,37.761703,-122.400946
The New School of San Francisco,940 Filbert St,San Francisco,elementary school,487,37.761752,-122.400734
Creative Arts Charter School,1802 19th St,San Francisco,elementary school,517,37.761503,-122.400576
Envision Schools,185 Berry St,San Francisco,elementary school,614,37.761812,-122.398659
Brightworks School,1960 Bryant St,San Francisco,elementary school,631,37.762286,-122.410441
Community Alliance For Special Education,1550 Bryant St,San Francisco,elementary school,664,37.767522,-122.41118
Google Cloud Courtside Lounge 25,,San Francisco,basketball stadium,1489,37.768163,-122.387778
Chase Center Stadium,1 Warriors Way,San Francisco,basketball stadium,1503,37.767924,-122.387478
United Club,500 Terry A Francois Blvd,San Francisco,basketball stadium,1516,37.767832,-122.387401
Basketball Court,100 McAllister St,San Francisco,basketball stadium,1974,37.781084,-122.414131
USF - War Memorial Gymnasium,2100 Golden Gate Ave,San Francisco,basketball stadium,4179,37.778096,-122.445491
Kezar Pavilion,755 Stanyan St,San Francisco,basketball stadium,4367,37.767456,-122.453888
Urban Knights,755 Stanyan St,San Francisco,basketball stadium,4370,37.767521,-122.453892
Gym Building-SFSU,1600 Holloway Ave,San Francisco,basketball stadium,7978,37.721413,-122.478227
Cowell Pavilion,,San Francisco,basketball stadium,8286,37.747456,-122.496039
San Francisco SPCA Veterinary Hospital,201 Alabama St,San Francisco,veterinary,713,37.766769,-122.412067
Leanne B. Roberts Animal Care Center,201 Alabama St,San Francisco,veterinary,720,37.766861,-122.412144
Animal Internal Medicine & Specialty Services,600 Alabama St,San Francisco,veterinary,805,37.761456,-122.412327
San Francisco SPCA Veterinary Hospital Mission Campus,201 Alabama St,San Francisco,veterinary,806,37.767083,-122.413089
Watt Philip R DVM-Vca San Francisco Veterinary,600 Alabama St,San Francisco,veterinary,809,37.761467,-122.412184
VCA San Francisco Veterinary Specialists,600 Alabama St,San Francisco,veterinary,828,37.76151,-122.412202
SAGE Veterinary Centers - San Francisco,600 Alabama St,San Francisco,veterinary,832,37.761445,-122.41247
Dr Jamie Anderson,600 Alabama St,San Francisco,veterinary,832,37.761445,-122.41247
VetPronto - Mobile Veterinarians,3150 18th St,San Francisco,veterinary,931,37.762615,-122.414259
VCA All Pets Hospital,269 S Van Ness Ave,San Francisco,veterinary,1239,37.768956,-122.417643
La Petite Nail Salon,601 Kansas St,San Francisco,pet grooming,347,37.762033,-122.403044
Jewelry by Peter,101 Utah St,San Francisco,pet grooming,350,37.767855,-122.406397
Little Buddhas Dog Walking and Pet Sitting,593 Potrero Ave,San Francisco,pet grooming,417,37.762092,-122.406989
Pet Pal Distribution Corporation,2 Henry Adams St,San Francisco,pet grooming,456,37.769265,-122.404187
Petcube,555 De Haro St,San Francisco,pet grooming,464,37.762587,-122.400926
Pet Cube,10 Arkansas St,San Francisco,pet grooming,473,37.766133,-122.398985
Petco,2300 16th St,San Francisco,pet grooming,540,37.766509,-122.410332
Happy Pet Care Services,1600 Bryant St,San Francisco,pet grooming,601,37.767062,-122.410794
Bernie's Grooming,1419 Bryant St,San Francisco,pet grooming,656,37.768602,-122.410312
"SF Hound Lounge - Dog Daycare, Boarding, Professional Grooming & Training",2825 Mariposa St,San Francisco,pet grooming,680,37.762833,-122.411405
