name,category_code,total_money_raised,country_code,city,address,zip_code,latitude,longitude
Vuze,games_video,$34M,USA,San Mateo,4 W. 4th Ave,94402,37.4858654,-122.2262606
NowPublic,web,$12M,CAN,Vancouver,576 Seymour Street,,49.283376,-123.103986
Hotswap,ecommerce,$1M,USA,Berkeley,,,37.872222,-122.268403
Lotame,advertising,$34M,USA,Columbia,8850 Stanford Blvd,21045,39.205649,-76.77514
Rebtel,mobile,$20M,SWE,Nacka Strand,Fabrikorvagen 4,131 52,59.3167843,18.1582777
Amazon,ecommerce,$8M,USA,Seattle,1200 12th Ave,98144,47.5923,-122.317295
SplashCast,advertising,$4M,USA,,,,37.09024,-95.712891
Brightcove,enterprise,$103M,USA,Cambridge,One Cambridge Center,02142,42.362993,-71.086596
Nimbuzz,mobile,$25M,NLD,Capelle a/d IJssel,301 Rivium Boulevard,2909 LK,51.9122575,4.5464658
obopay,mobile,$145M,USA,Redwood City,275 Shoreline Drive,,37.524729,-122.258037
PayPal,finance,$197M,USA,San Jose,2145 E Hamilton Ave,95125,37.294465,-121.927696
Vudu,hardware,$36M,USA,Santa Clara,2890 Bower Avenue,95051,,
PermissionTV,games_video,$9M,USA,Waltham,"1601 Trapelo Road, Suite 168",02451,42.417268,-71.258466
AOL,web,$1B,USA,New York,770 Broadway,10003,40.7311317,-73.9919311
IMVU,web,$29M,USA,Mountain View,200 West Evelyn Ave.,94041,37.3927975,-122.0727749
Techstars,finance,$34M,USA,Boulder,,,40.010492,-105.276843
Nirvanix,enterprise,$70M,USA,San Diego,4445 Eastgate Mall,92121,32.877656,-117.210595
Viagogo,ecommerce,$65M,USA,San Francisco,77 Battery St Fl 4,94111-5540,51.500152,-0.126236
Metacafe,games_video,$50M,USA,San Francisco,128 King Street,94107,37.437328,-122.159928
ChaCha,advertising,$89M,USA,Carmel,14550 Clay Terrace Blvd.,46032,39.998641,-86.130347
Dropbox,software,$257M,USA,San Francisco,,94107,37.7909427,-122.4084994
MobiTV,other,$143M,USA,Emeryville,"6425 Christie Ave, 5th floor",94608,,
Snocap,games_video,$25M,USA,San Francisco,"201 Third Street, 2nd Floor",94103,,
TokBox,messaging,$26M,USA,San Francisco,501 Second Street,94107,37.779507,-122.39071
Yola,web,$25M,USA,San Francisco,201 Mission Street,94105,37.7911148,-122.3954751
Kongregate,games_video,$19M,USA,San Francisco,2 Shaw Alley,94105,37.786942,-122.401245
GoFish,games_video,$24M,USA,,,,37.09024,-95.712891
KIT digital,enterprise,$20M,USA,New York,26 W 17th Street,10011,40.751816,-73.971655
Kiva,finance,$9M,USA,San Francisco,"3180 18th Street, Suite 201",94110,37.762125,-122.4147
Fathom Online,advertising,$6M,USA,San Francisco,,,37.775196,-122.419204
Jambo,web,$5M,USA,,,,37.09024,-95.712891
Zivity,network_hosting,$8M,USA,San Francisco,329 Bryant Street,94107,37.789488,-122.397593
eXpresso,public_relations,$2M,USA,Palo Alto,2225 E. Bayshore Road,94303,37.451637,-122.121932
Helium,web,$27M,USA,Andover,300 Brickstone Square,01810,42.675189,-71.1469
ZoomInfo,search,$7M,USA,Waltham,307 Waverley Oaks Road,02452,42.38532,-71.207055
Zango,games_video,$40M,USA,Bellevue,3600 136th Place SE,98006,47.579208,-122.155668
Docstoc,web,$4M,USA,Santa Monica,409 S Santa Monica Blvd,90401,34.018275,-118.495025
Shock Treatment Management,web,$4M,USA,Seattle,"1601 2nd Avenue, Suite #1080",98101,47.610332,-122.339859
Pluck,web,$17M,USA,Austin,,,30.268735,-97.745209
Alibaba,ecommerce,$5M,CHN,Hangzhou,"6/F Chuangye Mansion, East Software Park",310099,,
Kelkoo,ecommerce,$3M,USA,London,6th Floor Portland House,SW1E 5BH,37.09024,-95.712891
CinemaNow,web,$11M,USA,Marina Del Rey,4553 Glencoe Ave # 200,90292,33.983543,-118.432526
eHarmony,web,$113M,USA,Santa Monica,2401 Colorado Avenue,90404,34.145946,-118.132351
Heavy,web,$33M,USA,New York,500 7th Avenue,10018,40.753385,-73.98962
Trulia,search,$255M,USA,San Francisco,116 New Montgomery,94501,37.766909,-122.406676
WeatherBug,web,$38M,USA,Germantown,12410 Milestone Center Dr,20876,39.2009241,-77.2630048
SpiralFrog,games_video,$45M,USA,New York,95 Morton Street,10014,37.09024,-95.712891
TripOvation,web,$3M,USA,,,,37.09024,-95.712891
Vtap,games_video,$14M,USA,Andover,,,42.656621,-71.140538
OpenTable,web,$48M,USA,San Francisco,One Montgomery,,37.785647,-122.405265
Adknowledge,advertising,$248M,USA,Kansas City,"4600 Madison Ave., 10th Floor",64112,39.044694,-94.597896
ChannelAdvisor,search,$75M,USA,Morrisville,2701 Aerial Center Parkway,27560,35.854483,-78.815635
Yap,messaging,$12M,USA,Fort Mill,940 Market Street,29708,35.22806,-80.856178
Minglebox,web,$7M,IND,Bangalore,,,12.971606,77.594376
Itiva,web,$7M,USA,,,,37.09024,-95.712891
Videojug,news,$30M,GBR,London,1 Holford Yard,WC1X 9HD,,
BBE,advertising,$10M,USA,New York,245 Fifth Avenue,10016,40.7445343,-73.9874008
Tacoda,web,$19M,USA,New York,,,40.757929,-73.985506
Fotolog,network_hosting,$4M,USA,New York,,,40.757929,-73.985506
Xfire,games_video,$7M,USA,Santa Monica,310 Wilshire Blvd.,90401,34.0184659,-118.49863
Alloy,news,$127M,USA,,,,37.09024,-95.712891
Wonga,web,$101M,GBR,London,88 Crawford Street,W1H 2EJ,51.5192042,-0.1626103
SnapTell,software,$4M,USA,Palo Alto,2741 Middlefield Road,94306,37.433414,-122.128772
Spiceworks,hardware,$54M,USA,Austin,"7300 FM 2222, Bldg 3",78730,30.386601,-97.753739
MyHeritage,social,$49M,ISR,Or Yehuda,,,32.029748,34.856173
Ooyala,analytics,$122M,USA,Mountain View,800 West El Camino Real,94040,37.386665,-122.084171
CircleUp,finance,$9M,USA,San Francisco,,,,
Glimpse,ecommerce,$4M,USA,,,,37.09024,-95.712891
hulu,games_video,$100M,USA,Los Angeles,12312 W. Olympic Blvd.,90064,34.031276,-118.456806
Nemedia,advertising,$2M,DOM,Santo Domingo Este,"Zona Franca de San Isidro, Multiuso #2.",2862,,
ZocDoc,health,$97M,USA,New York,568 Broadway,10012,,
Viewdle,analytics,$12M,USA,Palo Alto,122 Hamilton Ave.,95128,,
PubMatic,advertising,$63M,USA,Redwood City,305 Main Street,94063,37.446668,-122.156579
GlobalMotion,travel,$1M,USA,Palo Alto,516 Bryant St,94301,37.445714,-122.161247
Aviary,mobile,$19M,USA,NY,243 West 30th Street,10001,,
RotoHog,games_video,$8M,USA,Los Angeles,,,33.959799,-118.343938
Viewpoints,web,$5M,USA,Chicago,222 W. Hubbard Street,60610,41.890376,-87.63406
Avvo,legal,$23M,USA,Seattle,705 5th Avenue South,98104,47.6104101,-122.3396627
Tumri,advertising,$31M,USA,,,,37.09024,-95.712891
ChessPark,games_video,$1M,USA,West Palm Beach,,,43.67084,-83.913153
Eons,network_hosting,$32M,USA,Boston,31 5th Street,02129,42.375219,-71.056101
ValueClick,advertising,$45M,USA,,,,37.09024,-95.712891
Cuil,search,$33M,USA,Menlo Park,66 Willow Place,94025,37.451124,-122.166264
Webjam,enterprise,$2M,GBR,London,Tolworth Tower,KT6 7EL,51.519819,-0.136174
Animoto,music,$30M,USA,New York,440 Lafayette St.,,40.72948,-74.000195
GamerDNA,web,$3M,USA,Cambridge,,,42.375392,-71.118487
Jawbone,hardware,$403M,USA,San Francisco,99 Rhode Island Street,94103,37.768708,-122.402866
Fixya,web,$8M,USA,San Mateo,One Franklin Parkway,94401,37.566879,-122.323895
Sermo,health,$41M,USA,Cambridge,215 First Street,02142,42.364367,-71.078978
Mobovivo,mobile,C$1M,CAN,Calgary,1400 700 2nd St SW,T2P 4V5,,
RingCentral,messaging,$44M,USA,San Mateo,1400 Fashion Island Blvd,94404,37.560155,-122.285588
MatchMine,web,$10M,USA,Needham,175 Highland Avenue,,42.304545,-71.220187
Mimeo,web,$25M,USA,New York,460 Park Avenue South,10016,40.745216,-73.982807
Mobivox,mobile,$11M,CAN,Montreal,651 Notre-Dame West Suite 550,,45.500277,-73.560084
3Jam,mobile,$4M,USA,San Francisco,365 Vermont St,94103-5060,37.765125,-122.4044034
DocuSign,software,$116M,USA,Seattle,1301 Second Ave,98101,47.603015,-122.335668
Zannel,web,$16M,USA,San Francisco,,,37.775196,-122.419204
wunderloop,advertising,$10M,USA,London,24 Greville Street,,,
FriendFeed,web,$5M,USA,Mountain View,333 W. Evelyn Ave,94041,37.39248,-122.072612
Rupture,games_video,$3M,USA,San Francisco,400 2nd Street,94107,37.783898,-122.395234
Whiskey Media,web,$4M,USA,San Francisco,921 Front St.,94111,37.856331,-122.495222
RayV,games_video,$16M,USA,New York,"150 West 77, Suite 4",,40.781159,-73.978332
23andMe,biotech,$161M,USA,Mountain View,2606 Bayshore Parkway,94042,37.09024,-95.712891
The Climate Corporation,cleantech,$109M,USA,San Francisco,201 Third Street,94103,37.782809,-122.394354
Tabblo,web,$4M,USA,Boston,,,42.35888,-71.05682
Tumblr,web,$125M,USA,New York,"419 Park Ave. South, Suite 807",10016,40.743808,-73.983626
Radar Networks,advertising,$24M,USA,San Francisco,"410 Townsend Street, Suite 150",94107,37.7753,-122.398058
Dash,mobile,$65M,USA,Sunnyvale,888 Ross Drive,94089,37.401495,-122.031855
Payoneer,other,$14M,USA,New York,410 Park Avenue - 15th Floor,10022,40.621591,-73.960717
Shopatron,enterprise,$10M,USA,San Luis Obispo,"825 Buckley Road, Suite 200",93403,37.09024,-95.712891
Buzzwire,mobile,$12M,USA,Denver,925 South Race,80209,39.755092,-104.988123
CollegeHumor,games_video,$20M,USA,,,,37.09024,-95.712891
Renkoo,web,$9M,USA,Redwood City,Renkoo,94063,,
eXelate,advertising,$32M,USA,New York,7 West 22nd Street,10010,40.741266,-73.990753
Gydget,web,$1M,USA,San Francisco,1 Front Street,94111,37.791733,-122.398398
PicksPal,games_video,$15M,USA,Mountain View,,,37.40047,-122.072981
Zattoo,games_video,$10M,USA,Ann Arbor,1327 Jones Dr. Suite 106,48105,42.292649,-83.734673
Songbird,mobile,$11M,USA,San Francisco,2 Shaw Alley,94105,37.787126,-122.39783
Soonr,enterprise,$23M,USA,Campbell,"307 Orchard City Drive, Suite 206",95008,,
GridNetworks,network_hosting,$30M,USA,Seattle,71 Columbia Street,98104,47.602873,-122.336132
Quigo,advertising,$35M,USA,New York,"90 Park Avenue, 10th Floor",10016,40.907974,-73.84179
Comeks,mobile,$1M,GIN,Helsinki,Unioninkatu 45 A,1946,,
SezWho,web,$1M,USA,Los Altos,"1000 Fremont Avenue, #230",94024,37.351894,-122.085807
Vitrue,enterprise,$33M,USA,Atlanta,101 Marietta Street,30303,33.756806,-84.392198
Shangby,ecommerce,$1M,USA,Austin,10 Sundown Parkway,78746,30.288653,-97.822884
Vringo,software,$37M,USA,New York,780 Third Avenue,10017,40.7550005,-73.9717364
BrightRoll,advertising,$46M,USA,San Francisco,343 Sansome St.,94104,37.794643,-122.401144
Compete,consulting,$33M,USA,Boston,501 Boylston St,02116,42.346743,-71.076632
Doppelganger,web,$11M,USA,San Francisco,500 Treat Ave,94141,37.762162,-122.413912
Needium,enterprise,$1M,CAN,Montreal,460 Ste-Catherine W. #402,H3B1A7,45.5049305,-73.5681635
Loopt,mobile,$32M,USA,Mountain View,590 W. El Camino Real,94040,37.384717,-122.081625
Fix8,games_video,$5M,USA,Sherman Oaks,15250 Ventura Blvd,91403,34.152826,-118.465582
Podaddies,advertising,$1M,USA,San Francisco,,94103,37.7726402,-122.4099154
Zecco,web,$35M,,,,,,
Peerflix,advertising,$10M,USA,Palo Alto,"560 Waverley, Suite 200",,37.446407,-122.159712
Omniture,advertising,$25M,USA,Orem,550 East Timpanogos Circle,84097,40.323902,-111.68192
Vobile,web,$10M,USA,Santa Clara,"4699 Old Ironsides Drive, Ste 430",95054,37.399208,-121.97895
Wellocities,web,C$1M,CAN,"Toronto, Ontario",,,43.670233,-79.386755
HowStuffWorks,web,$75M,USA,Atlanta,"3350 Peachtree Road, Suite 1500",30326,37.09024,-95.712891
ZeniMax,games_video,$586M,USA,Rockville,1370 Piccard Drive,20850,39.105555,-77.179772
Taboola,photo_video,$40M,USA,New York,19 W 21 St,10010,,
eSnips,network_hosting,$5M,ISR,Herzliya Pituach,P.O. Box 4010,46140,,
Blowtorch,games_video,$50M,USA,Sausalito,10 Liberty Ship Way #330,94965,37.862592,-122.493561
GameLayers,web,$2M,USA,San Francisco,1 Lombard Street,94111,37.803847,-122.402468
Mogreet,mobile,$14M,USA,Venice,555 Rose Avenue,90291,33.999004,-118.472297
WEbook,web,$5M,USA,New York,307 Fifth Avenue,10016,38.984172,-77.095965
Hark,web,$5M,USA,Seattle,1620 Broadway,98122,,
OANDA,web,$117M,CAN,Toronto,370 King Street West,M5V 1J9,,
Splunk,software,$40M,USA,San Francisco,250 Brannan St.,94107,37.78274,-122.390945
xkoto,software,$11M,USA,Waltham,"275 Wyman Street,",02451,42.405685,-71.255857
TrustedID,security,$25M,USA,Palo Alto,395 Page Mill Road,94306,37.520592,-122.255907
Youku,photo_video,$120M,CHN,Shanghai,Unit 1 3301-3303 Grand Gateway,200030,31.2006566,121.4384701
Tinselvision,web,$6M,USA,,,,,
Phanfare,web,$5M,USA,Princeton,84 Nassau Street,08540,40.349854,-74.660287
SeeToo,enterprise,$1M,USA,New York,,,40.755861,-73.996272
Paltalk,other,$6M,USA,New York,Church Street Station,10008,,
Seeqpod,search,$7M,USA,Emeryville,6475 Christie Avenue Suite 475,95826,37.8454819,-122.296342
Yodle,advertising,$40M,USA,New York,50 West 23rd Street,10010,40.742459,-73.9918126
Qwaq,web,$7M,USA,Palo Alto,460 S. California Avenue,94306,37.425591,-122.145416
Snapvine,other,$12M,USA,Seattle,419 Occidental Ave South,98104,47.598968,-122.332904
Deezer,music,$149M,FRA,Paris,"12, rue d'Athenes",75009,48.8780596,2.3283853
betNOW,web,$5M,GBR,London,14 Garrick Street,WC2E 9SB,51.511599,-0.126389
HubSpot,software,$131M,USA,Cambridge,25 First St.,02141,42.375392,-71.118487
Utterz,mobile,$4M,USA,Maynard,63 Great Road,01754,42.431555,-71.483077
Vidyo,messaging,$141M,USA,Hackensack,433 Hackensack Ave,07601,40.909378,-74.033707
Fraud Sciences,security,$11M,USA,Palo Alto,1032 Elwell Court,94303,37.09024,-95.712891
iMemories,enterprise,$16M,USA,Scottsdale,9181 East Bell Road,85260,33.639318,-111.883237
Dapper,advertising,$3M,USA,San Francisco,290 King Street,94107,37.7766184,-122.3938931
ClickTale,analytics,$23M,ISR,Ramat Gan,2 Shoham st.,52521,31.046051,34.851612
TradeKing,web,$6M,USA,Fort Lauderdale,888 E. Las Olas Blvd,33301,26.119102,-80.1343038
Jacked,advertising,$9M,USA,Santa Monica,3143 Donald Douglass Loop South,90405,,
CafeMom,network_hosting,$17M,USA,New York,401 Park Ave S,10016-8808,37.09024,-95.712891
Shipwire,enterprise,$10M,USA,,,,37.09024,-95.712891
Takkle,web,$7M,USA,,,,37.09024,-95.712891
WildTangent,games_video,$84M,USA,Redmond,18578 NE 67th Ct,98052,37.09024,-95.712891
Gilt Groupe,fashion,$236M,USA,New York,2 Park Ave Fl 4,10016-5602,40.74727,-73.9800645
BeliefNet,web,$7M,USA,New York,115 E 23rd Street,10010,40.740231,-73.985433
Smilebox,photo_video,$14M,USA,Redmond,8201 164th Ave NE,98052,47.676378,-122.122155
Kosmix,web,$55M,USA,Mountain View,,94041,37.3867729,-122.0752224
Ribbit,mobile,$11M,USA,Mountain View,800 W. El Camino Real,94040,37.386665,-122.084171
HubPages,web,$8M,USA,San Francisco,95 Minna Street,94105,37.7876952,-122.3991505
ideeli,ecommerce,$107M,USA,New York,620 8th Ave,10018,40.755978,-73.990396
WeShow,games_video,$5M,USA,New York,,10017,40.752516,-73.973072
Deem,ecommerce,$467M,USA,San Francisco,301 Howard Street,94105,37.559836,-122.271532
KAYAK,search,$235M,USA,Norwalk,55 N. Water Street,06854,41.1010914,-73.4168779
Mobissimo,search,$1M,USA,San Francisco,631 Howard St. suite 520,94105,37.78624,-122.39897
REVShare,web,$20M,USA,,,,37.09024,-95.712891
GridPoint,cleantech,$285M,USA,Arlington,2801 Clarendon Blvd. Suite 100,22201,38.888107,-77.091562
HelioVolt,cleantech,$253M,USA,Austin,8201 E. Riverside Dr. Suite 600,78744-1604,30.216908,-97.685078
Ausra,cleantech,$123M,USA,Mountain View,303 Ravendale Drive,94043,37.446526,-122.117933
Kior,cleantech,$298M,USA,Pasadena,13001 Bay Park Road,77507,37.09024,-95.712891
Atlassian,enterprise,$60M,AUS,Sydney,"Level 6, 341 George St Sydney, NSW, 2000, Australia",2000,,
Nanosolar,nanotech,$520M,USA,San Jose,5521 Hellyer Ave.,95138,37.264749,-121.789862
Shozu,mobile,$36M,USA,San Francisco,"600 Townsend St., Suite 120E",94103,37.771706,-122.402683
Fyreball,web,$1M,USA,Bellevue,,,47.597965,-122.151158
Tesla Motors,automotive,$823M,USA,Palo Alto,3500 Deer Creek rd.,94304,37.496737,-122.245323
Fotolia,advertising,$225M,USA,New York,"41 East 11th Street, 11th Floor",10003,,
Kenshoo,advertising,$12M,ISR,Tel Aviv,6 Habarzel Street,,,
LifeOnKey,web,$10M,USA,New York,419 Lafayette Street,10003,37.09024,-95.712891
Scrapblog,web,$10M,USA,San Francisco,110 Sutter,94104,25.752358,-80.25468
jellyfish,web,$5M,USA,Middleton,"1600 Aspen Commons, Suite 950",53562,,
Onaro,network_hosting,$10M,USA,Boston,500 Harrison Ave,02118,42.341899,-71.065924
Meraki,network_hosting,$80M,USA,San Francisco,660 Alabama St.,94110,37.392443,-122.072517
ice,ecommerce,$47M,USA,,,,37.09024,-95.712891
SugarCRM,software,$135M,USA,Cupertino,10050 North Wolfe Road,95014,37.323739,-122.014147
DeepRockDrive,games_video,$3M,USA,Las Vegas,,89173,36.1062,-115.1374
bluepulse,network_hosting,$6M,USA,San Mateo,71 East 3rd Avenue,94401,37.563905,-122.324688
Jobfox,web,$42M,USA,McLean,7926 Jones Branch Drive,22102,38.92719,-77.216969
Joyent,enterprise,$112M,USA,San Francisco,One Embarcadero Center,94111,37.856743,-122.480153
Delver,search,$4M,ISR,Herzeliya,9 Hamenofim St.,46725,,
SuccessFactors,enterprise,$35M,USA,San Mateo,1500 Fashion Island Blvd. Suite 300,94404,37.557637,-122.285714
TicketsNow,ecommerce,$34M,USA,Rolling Meadows,3800 Golf Road Suite 125,60008,42.050903,-88.027569
yoonew,web,$4M,USA,New York,1412 Broadway Suite 1822,10018,40.75362,-73.986557
Oversee,web,$210M,USA,Los Angeles,515 S. Flower Street Suite 4400,90071,34.051368,-118.256305
Zynga,games_video,$860M,USA,San Francisco,365 Vermont St.,94103,37.765158,-122.404234
Enforta,mobile,$40M,RUS,Moscow,"Mishina Street 56; Building 2, 6th Floor",127083,,
WAYN,network_hosting,$11M,GBR,London,,,51.500152,-0.126236
Smaato,advertising,$18M,USA,San Francisco,"240 Stockton St, 10th Floor",94108,,
Studyplaces,web,$3M,USA,,,,,
Jellyvision,advertising,$5M,USA,,,,37.09024,-95.712891
ProQuo,web,$13M,USA,,,,37.09024,-95.712891
Badoo,web,C$30M,GBR,London,,,,
Wellsphere,web,$3M,USA,San Mateo,1730 S. El Camino Real Suite 600,94402,37.55153,-122.314072
blinkbox music,music,$6M,GBR,Oxford,9400 Garsington Road,OX4 2HN,51.7319786,-1.2063327
Credit Karma,finance,$33M,USA,San Francisco,,94104,,
Amobee,advertising,$60M,USA,Redwood City,100 Marine Parkway,94065,37.52845,-122.263721
Visible Measures,advertising,$90M,USA,Boston,143 South Street,02111,42.3536303,-71.0590483
Adchemy,advertising,$119M,USA,Foster City,1001 E Hillsdale Blvd,94404,,
HealthCentral,web,$50M,USA,Arlington,2300 Wilson Blvd.,22201,38.894403,-77.068267
Endeca,search,$65M,USA,Cambridge,101 Main Street,02142,42.36233,-71.081527
WorldTV,games_video,$1M,IRL,Limerick,,,52.6638571,-8.6267726
General Electric,other,$2M,USA,Fairfield,3135 Easton Turnpike,06828,41.216225,-73.2525873
Heroku,enterprise,$13M,USA,San Francisco,,,37.775196,-122.419204
Tipjoy,legal,$1M,USA,Arlington,661 Mass Ave,02476,42.4159418,-71.1543315
Sharetivity,web,$2M,USA,Palo Alto,530 University Ave,94303,37.550954,-122.315396
First30Days,web,$5M,USA,Louisville,1760 Frankfort Avenue,40206,38.257035,-85.717393
Seatwave,ecommerce,$53M,GBR,London,120 Moorgate,EC2M 6UR,51.500152,-0.126236
BreakingPoint Systems,security,$20M,USA,Austin,3900 N. Capital of Texas Highway,78746,30.384453,-97.709809
VisualCV,web,$5M,USA,Reston,11654 Plaza America Drive,20190,38.9530391,-77.3479238
b5media,web,$2M,CAN,"Toronto, ON",174 Spadina Ave,M5T 2C2,,
Offermatica,software,$7M,USA,San Francisco,Pier One Bay Three,94111,,
SpotXchange,advertising,$12M,USA,Westminster,"11030 CirclePoint Road, Suite 350",80020,39.89674,-105.07359
Maven Networks,games_video,$12M,USA,Cambridge,,,42.375392,-71.118487
MyNewPlace,web,$20M,USA,San Francisco,"360 3rd Street,",94107,,
Mixbook,web,$11M,USA,Palo Alto,409 Sherman Ave,94306-1827,37.383844,-121.918319
Oddcast,web,$4M,USA,New York,134 W. 37th Street,10018,40.752325,-73.988477
Snap Technologies,web,$10M,USA,Pasadena,130 W. Union,91103,34.146436,-118.153136
Three Rings,web,$7M,USA,San Francisco,,,37.775196,-122.419204
Smalltown,web,$4M,USA,San Mateo,210 S B Street,94401,37.566123,-122.323045
Shelfari,web,$1M,USA,Seattle,,,47.620716,-122.347533
Cellfire,mobile,$26M,USA,San Jose,2890 Zanker Road,95054,37.395923,-121.92902
HomeAway,travel,$504M,USA,Austin,1011 W. Fifth Street,78703,,
Netflix,games_video,$230M,USA,Los Gatos,100 Winchester Circle,95032,37.25142,-121.968687
Danger,mobile,$118M,USA,Palo Alto,3101 Park Blvd,94306,37.425168,-122.136248
Coverity,enterprise,$22M,USA,San Francisco,185 Berry Street,94107,37.7759675,-122.3931128
