name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude,Company_Type
ON24,web,,$8M,USA,San Francisco,201 3rd Street,94103,37.7850326,-122.4004738,Raised > $1M
Streetline,hardware,,$40M,USA,San Francisco,49 Stevenson St.,94105,37.782085,-122.409747,Raised > $1M
Third Age,health,,$1M,USA,San Francisco,25 Stillman Street,94107-1309,37.78302,-122.39469,Raised > $1M
Carbonetworks,cleantech,,$5M,USA,San Francisco,1700 Montgomery St,94111,37.805289,-122.404448,Raised > $1M
Airbnb,travel,,$326M,USA,San Francisco,888 Brannan Street,94103,37.77186,-122.40556,Raised > $1M
Sharethrough,advertising,,$11M,USA,San Francisco,394 Pacific Ave.,94111,37.7976785,-122.4018163,Raised > $1M
Paymo,mobile,,$5M,USA,San Francisco,300 Broadway Street,94133,37.798684,-122.40264,Raised > $1M
Recommind,enterprise,,$15M,USA,San Francisco,650 California Street,94108,37.796903,-122.404904,Raised > $1M
Demandbase,analytics,,$33M,USA,San Francisco,301 Howard Street,94105,37.796843,-122.400346,Raised > $1M
Yammer,enterprise,,$142M,USA,San Francisco,1355 Market St,94103,37.776246,-122.4179223,Raised > $1M
Telespree,software,,$1M,USA,San Francisco,185 Berry Street,,37.777092,-122.391011,Raised > $1M
ConnectSolutions,enterprise,,$10M,USA,San Francisco,731 Market Street,94103,37.580093,-122.347745,Raised > $1M
Lolapps,web,,$4M,USA,San Francisco,116 New Montgomery,94105,37.7870923,-122.3999719,Raised > $1M
InnerRewards,ecommerce,,$1M,USA,San Francisco,731 Market Street,94103,37.78691,-122.404403,Raised > $1M
nCircle Network Security,software,,$6M,USA,San Francisco,101 Second Street,94105,37.75672,-122.40507,Raised > $1M
Brightstorm,games_video,,$6M,USA,San Francisco,"685 Market St. Street, Suite 270",94105,37.804619,-122.371203,Raised > $1M
Mindjet,software,,$15M,USA,San Francisco,1160 Battery Street East,94111,37.8017812,-122.4040438,Raised > $1M
Webtab,mobile,,$2M,USA,San Francisco,847 Sansome Street,94111,37.79811,-122.4023,Raised > $1M
GotGame,games_video,,$1M,USA,San Francisco,1 Bluxome Place,94107,37.77772,-122.395785,Raised > $1M
Emotive Communications,enterprise,,$14M,USA,San Francisco,345 California Street,94104,37.79255,-122.40002,Raised > $1M
Lookout,security,,$131M,USA,San Francisco,One Front St,94111,37.79172,-122.39826,Raised > $1M
KIXEYE,games_video,,$19M,USA,San Francisco,333 Bush Street,94104,37.79049,-122.40286,Raised > $1M
Twilio,enterprise,,$104M,USA,San Francisco,"645 Harrison, 3rd Floor",94107,37.7898499,-122.4006831,Raised > $1M
LoopNet,ecommerce,,$50M,USA,San Francisco,185 Berry Street,94107,37.7759421,-122.3931139,Raised > $1M
Fanminder,advertising,,$1M,USA,San Francisco,625 Second Street,94107,37.3792486,-122.1151274,Raised > $1M
Vontu,software,,$20M,USA,San Francisco,475 Sansome Street,94111,37.79458,-122.4019,Raised > $1M
Soma Networks,network_hosting,,$51M,USA,San Francisco,650 Townsend Street,94103,37.7710402,-122.4026325,Raised > $1M
YieldBuild,advertising,,$6M,USA,San Francisco,95 Minna St,94105-3029,37.7877967,-122.3989376,Raised > $1M
Clikthrough,software,,$2M,USA,San Francisco,414 Jackson St.,94111,37.7965781,-122.4022856,Raised > $1M
Envivio,software,,$59M,USA,San Francisco,"400 Oyster Point Blvd., Suite 325",94080,37.665469,-122.38222,Raised > $1M
Klout,social,,$40M,USA,San Francisco,77 Stillman St.,94103,37.7820311,-122.3957106,Raised > $1M
Applied Identity,advertising,,$33M,USA,San Francisco,456 Montgomery,94104,37.79347,-122.40267,Raised > $1M
Cognitive Networks,network_hosting,,$6M,USA,San Francisco,1663 Mission Street,94103,37.77121,-122.41949,Raised > $1M
Double Fusion,web,,$59M,USA,San Francisco,"300 Beale Street,",94105,37.7887135,-122.3927145,Raised > $1M
5th Finger,mobile,,$7M,USA,San Francisco,222 Sutter St Suite 450,94108,37.7900992,-122.4021988,Raised > $1M
SmartTurn,advertising,,$5M,USA,San Francisco,177 Fremont St.,94105,37.789801,-122.395327,Raised > $1M
SpongeFish,web,,$2M,USA,San Francisco,"599 3rd St,",94107,37.7800788,-122.3943096,Raised > $1M
Pulse Entertainment,mobile,,$7M,USA,San Francisco,900 Kearny St. Suite 300,94133,37.796396,-122.404869,Raised > $1M
Voxer LLC,mobile,,$30M,USA,San Francisco,"760 Market Street, 5th Floor",94102,37.78667,-122.40505,Raised > $1M
Donnorwood Media,web,,$5M,USA,San Francisco,"620 Folsom St, Suite 350",94107,37.785271,-122.397582,Raised > $1M
Skout,social,,$22M,USA,San Francisco,301 Howard,94105,37.7800539,-122.3912492,Raised > $1M
Visage Mobile,enterprise,,$14M,USA,San Francisco,500 Sansome Street,94111,37.795141,-122.401194,Raised > $1M
SuperSecret,web,,$10M,USA,San Francisco,660 4th Street,94107,37.7775896,-122.3956019,Raised > $1M
Home-Account,finance,,$1M,USA,San Francisco,188 King Street,94107,37.778551,-122.391686,Raised > $1M
MarkMonitor,security,,$12M,USA,San Francisco,303 Second Street,94107,37.75672,-122.40507,Raised > $1M
Groxis,,,$4M,USA,San Francisco,402 Jackson Street,94111,37.79662,-122.4019,Raised > $1M
One Kings Lane,ecommerce,,$113M,USA,San Francisco,1355 Market St,94103,37.77697,-122.41696,Raised > $1M
Fluid,ecommerce,,$24M,USA,San Francisco,"222 Sutter St., 8th Floor",94108,37.78978,-122.40426,Raised > $1M
Birst,enterprise,,$64M,USA,San Francisco,153 Kearny Street,94108,37.789471,-122.404113,Raised > $1M
Square,mobile,,$341M,USA,San Francisco,1455 Market Street,94103,37.7757,-122.41808,Raised > $1M
Marketcetera,software,,$4M,USA,San Francisco,28 2nd Street,94105,37.788864,-122.4008487,Raised > $1M
Playboox,software,,$3M,USA,San Francisco,116 New Montgomery St,94105,37.7870283,-122.4000192,Raised > $1M
Five Prime Therapeutics,biotech,,$117M,USA,San Francisco,1650 Owens Street,94158-2216,37.7676285,-122.393799,Raised > $1M
Sunrun,cleantech,,$337M,USA,San Francisco,"45 Fremont Street, 32nd Floor",94105,37.7871306,-122.4041075,Raised > $1M
ACT Biotech,biotech,,$27M,USA,San Francisco,717 Market Street,94103-2103,37.7871306,-122.4041075,Raised > $1M
Sauce Labs,enterprise,,$14M,USA,San Francisco,500 Third St.,94107,37.75672,-122.40507,Raised > $1M
Recurrent Energy,cleantech,,$85M,USA,San Francisco,300 California St.,94104,37.805289,-122.404448,Raised > $1M
Siluria Technologies,nanotech,,$103M,USA,San Francisco,409 Illinois Street,94158,37.4484914,-122.1802812,Raised > $1M
ZoomSystems,hardware,,$87M,USA,San Francisco,"22 4th Street, Floor 16",94103,37.781689,-122.391061,Raised > $1M
TeachScape,software,,$16M,USA,San Francisco,71 Stevenson St.,94105,37.7869047,-122.4043924,Raised > $1M
Roc2Loc,cleantech,,$2M,USA,San Francisco,"66 Mint Street, 3rd Floor",94103,37.782475,-122.407764,Raised > $1M
