name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude
hearwhere,games_video,2.0,$0,USA,Whistler,6227 Eagle Drive,V0N 1B6,50.123306,-122.96391
iWin,games_video,103.0,$0,USA,San Francisco,45 Fremont Street,94105,37.781689,-122.391061
Pangaeaa Enterprises,games_video,3.0,$0,USA,Palmetto,,30268,33.553846,-84.720134
Codemasters,games_video,,$0,USA,Universal City,10 Universal City Plaza,91608,34.138198,-118.360617
PurePlay,games_video,,$15M,USA,San Francisco,,,37.775196,-122.419204
Soundflavor,games_video,17.0,$5.8M,USA,San Francisco,"2339 Third Street, 4th Floor",94107,,
IndieFlix,games_video,,$0,USA,Seattle,4111 E. Madison St.,98112,47.634731,-122.27962
ConcertAttack,games_video,,$0,USA,,,,40.757929,-73.985506
The Television Writers Vault,games_video,3.0,$0,USA,San Diego,3830 Valley Center Drive,92130,33.228284,-116.995957
Cam-Trax Technologies,games_video,,$200k,ISR,Ramat Gan,"4, Bezalel St. ( Roof floor)",,31.046051,34.851612
Teresis Media Management,games_video,5.0,$0,USA,Santa Ana,Digital Media Center,92704,,
Hive7,games_video,5.0,$0,USA,Palo Alto,,94301,37.44296,-122.151198
Monte Cristo,games_video,,$7M,,,,,,
Niwango,games_video,,$0,JPN,Tokyo,Hamacho Center Bldg.,103-007,,
MeDeploy,games_video,,$0,USA,Los Angeles,,91604,34.1395597,-118.3870991
OneScreen,games_video,60.0,$0,USA,Irvine,"310 Commerce, Suite 200",92602,,
snuzu,games_video,,$0,USA,New Haven,,06520,41.3083,-72.9287
TriFame,games_video,,$0,USA,,,,27.698682,-83.804475
eJamming,games_video,,$1.84M,USA,Boca Raton,,,26.367481,-80.114723
bendecho,games_video,,$0,DEU,Munich,Joseph-Dollinger-Bogen 14,80807,48.185529,11.603542
onTV Europe,games_video,,$0,GBR,"Kingston, Surrey",The Quadrant,KT2 6QJ,,
TuneCore,games_video,,$7M,USA,Brooklyn,45 Main Street,11201,40.704382,-73.986572
CCP Games,games_video,360.0,$36.3M,ISL,Reykjavik,Grandagarður 8,101,,
Gamook,games_video,,$1.5M,USA,Menlo Park,2735 Sand Hill Road,94025,37.41924,-122.208414
Dizzywood,games_video,,$2M,USA,,,,37.269175,-119.306607
LyricFind,games_video,15.0,$0,CAN,Toronto,40 Eglinton Ave. East,M4P 3A2,43.7123092,-79.3995384
Knowledge Adventure,games_video,,$26.8M,USA,Torrance,2377 Crenshaw Blvd.,90501,33.8231,-118.328584
Vroengard Academy,games_video,,$0,USA,New York,1745 Broadway,10019,40.765283,-73.982007
Jungle Jam Tv,games_video,1.0,$0,ITA,Bologna,,,44.494446,11.349231
Openfilm,games_video,35.0,$0,USA,Miami,1450 S Miami Ave,33130,25.887462,-80.166155
VideoFetcher,games_video,,$0,USA,,,,37.09024,-95.712891
Sivoo,games_video,8.0,$0,USA,Philadelphia,239 Chestnut St,19147,39.948587,-75.145654
MetaCritic,games_video,,$0,USA,San Francisco,,94105,,
Vostu,games_video,550.0,$48.7M,ARG,Buenos Aires,999 Juana Manso,1107,,
Faneebo,games_video,1.0,$0,USA,Moreno Valley,,92553,33.921969,-117.249376
Zipityzap,games_video,1.0,$0,,,,,,
Marvel Entertainment,games_video,,$0,USA,New York,417 5th. Avenue,10016,40.750576,-73.982713
Vusion,games_video,,$0,USA,Milpitas,1375 McCandless Drive,95035,37.412069,-121.900366
Titan Gaming,games_video,18.0,$1M,USA,Santa Monica,"1351 4th Street, 4th floor",90401,53.544711,-113.515769
Stardoll,games_video,,$10M,SWE,Stockholm,Hudiksvallsgatan 8,113 30,59.345553,18.037611
RootZoo,games_video,9.0,$0,USA,Herndon,c/o Network Solutions,20172-0447,,
Replay Poker,games_video,8.0,$0,,,,,,
WhatYah!,games_video,2.0,$0,AUS,Perth,"Perth, Australia",6001,-41.565586,147.196096
HBO,games_video,,$0,,,,,,
Muzicons,games_video,,$0,,,,,,
Soundwalk,games_video,,$0,USA,New York,508 BROADWAY NO.5,10012,40.722266,-73.999044
Vigster,games_video,,£50k,GBR,London,,,51.500152,-0.126236
ViewNow,games_video,,$0,USA,Encino,16255 Ventura Boulevard,91436,,
Jogli,games_video,4.0,$950k,ISR,Tel-Aviv,32 Alenbi St.,,,
MyTrainer,games_video,4.0,$0,,,,,,
Sport Interactiva,games_video,4.0,$0,USA,Philadelphia,3710 Spruce St,19104,39.951053,-75.197465
Bragosphere,games_video,3.0,$0,USA,Phoenix,1429 E. Charleston Ave.,85022,33.64873,-112.051346
VBS TV,games_video,100.0,$10M,USA,Brooklyn,97 North Tenth Street,11211,40.720764,-73.957968
eBaum's World,games_video,,$0,USA,San Francisco,612 Howard St.,94105,37.786393,-122.3987745
Overstream,games_video,3.0,$0,USA,San Francisco,235 Montgomery St.,94104,37.791391,-122.402859
Mousebreaker,games_video,,$0,GBR,Hilton,Hargate House Farm,DE65 5FJ,,
Fandango,games_video,,$0,USA,Los Angeles,12200 West Olympic Blvd,90064,34.031646,-118.455352
Yaika,games_video,26.0,$0,EST,Tallinn,Fr.R. Kreutzwaldi 4,10120,59.437214,24.768664
Pixelmatic,games_video,10.0,$0,CAN,Vancouver,,,49.263588,-123.138565
Break Media,games_video,,$21.4M,USA,Los Angeles,5757 Wilshire Blvd.,90036,,
SageTV,games_video,,$0,USA,Inglewood,9800 South La Cienega Boulevard,90301,,
My Damn Channel,games_video,10.0,$8.66M,USA,New York,202 W. 40th St.,10018,40.754762,-73.988543
RateMeDateMe,games_video,1.0,$0,,,,,,
Cyloop,games_video,50.0,$0,USA,Miami,"555 Washington Ave, suite 340",33137,25.787252,-80.13183
Trilulilu,games_video,15.0,$0,,,,,,
Planet Green,games_video,,$0,,,,,,
Fourth Story Media,games_video,,$0,USA,New York,Fourth Story Media,10038,,
Liberty Sports Group,games_video,,$0,USA,Bellevue,3626 156th Ave. SE,98006,47.577244,-122.132063
CareerTours,games_video,17.0,$0,USA,Scottsdale,1475 N Scottsdale,85257,33.465063,-111.926112
ATUNN,games_video,,$0,,,,,,
Funtactix,games_video,,$6M,USA,New York,349 5TH AVE,10016,,
Interscope Records,games_video,,$0,USA,Santa Monica,2220 Colorado Avenue,90404,,
LuckySurf,games_video,,$0,USA,South San Francisco,395 Oyster Point Boulevard,94080,37.667304,-122.382792
Mediastay,games_video,,$21.5M,FRA,Levallois Perret,45 rue Jean Jaures,92300,48.891494,2.292728
Veeple,games_video,,$0,USA,Palo Alto,824 San Antonio Road,94303,37.421142,-122.101182
JiggyMe,games_video,,$0,,,,,,
Woldme,games_video,52.0,$1.5M,,,,,,
RCRD LBL,games_video,10.0,$0,USA,New York,"485 Broadway, 3rd Floor",10013,,
Spill,games_video,,$0,USA,New York,143 Varick Street,10013,40.72616,-74.006023
Muso Net,games_video,2.0,$0,,,,,,
NoiseTrade,games_video,,$0,USA,Nashville,510A East Iris Drive,37204,,
Gig Lovers,games_video,1.0,$0,,,,,,
Xtreme Desi Network,games_video,,$0,,,,,,
Celebrity Seats,games_video,,$0,USA,Mount Laurel,702 Wharton Road,08054,39.9418783,-74.9291168
Pixar,games_video,,$0,USA,Emeryville,1200 Park Avenue,94608-3677,,
Hictu,games_video,,$0,,,,,,
GEN247,games_video,12.0,$0,USA,Brooklyn,Bayard Studios,11222,40.727434,-73.9447994
LingusTV,games_video,15.0,$0,ESP,Rubi (Barcelona),"c/Zamora, 40 Bajos 2a",08191,,
9You,games_video,460.0,$100M,CHN,Shanghai,6F Harbour Ring Plaza No.18,200001,,
Chapatiz,games_video,7.0,$530k,FRA,Paris,PÃ©piniÃ¨re Contenus NumÃ©riques,75020,,
SetVid,games_video,4.0,$0,,,,,,
Fluid Entertainment,games_video,,$3.2M,USA,Mill Valley,16 Buena Vista Avenue,94941,37.906966,-122.545763
IGG,games_video,,$4.5M,,,,,,
Numedeon,games_video,,$1M,USA,Brea,417 Associated Rd,92821,33.9133208,-117.8789031
YOOWALK,games_video,10.0,$0,FRA,Paris,28 rue FrÃ©micourt,75015,48.8475487,2.2992348
Universal Studios,games_video,,$0,USA,Orlando,1000 Universal City Plaza,32819-7610,,
Jambo Media,games_video,,$0,USA,Collingswood,24 Lees Avenue,08108,39.914449,-75.066061
Saffron Digital,games_video,,$0,GBR,London,25 Farringdon Street,EC4A 4AB,,
Playlistor,games_video,,$0,,,,,,
PlayMyGame,games_video,,$0,,,,,,
Kickplay,games_video,4.0,$0,USA,Naples,,34113,26.037363,-81.741456
GigMaven,games_video,8.0,$0,USA,New York,615 E 6th St,10009,40.724289,-73.980587
Riot Games,games_video,,$8M,USA,Culver City,10736 Jefferson Blvd.,90230,34.0025911,-118.3942383
Bars For Us,games_video,4.0,$0,USA,Raleigh,,,35.779748,-78.643414
Scavenja,games_video,8.0,$0,USA,San Francisco,"539 Bryant St.,",94107,37.780134,-122.396744
Stratics,games_video,15.0,$0,,,,,,
Mobilenobo,games_video,16.0,$0,CYP,Nicosia,Strovolou 77 Office 204,67312,35.1286571,33.3250705
World Wide Talent Search,games_video,1.0,$0,USA,Providence,N/A,02901,41.83,-71.41
impara,games_video,,$0,DEU,Magdeburg,Listemannstrasse 10,39104,52.137784,11.642487
MixMeister,games_video,,$0,USA,Kirkland,9805 NE 116th Street,98034,47.704028,-122.210339
Le Gourmet TV,games_video,,$0,,,,,,
Future US,games_video,200.0,$0,,,,,,
Kazzong,games_video,8.0,$0,DEU,Munich,Paosostr. 7,81243,48.143941,11.450883
FilmGator,games_video,3.0,$0,,,,,,
FABINET,games_video,5.0,$0,DEU,Leipzig,Hardenbergstr. 78,D-04275,51.318503,12.381492
VISUALPLANT,games_video,6.0,$500k,USA,Los Gatos,200 Winchester Circle,95032,40.738476,-73.998726
Jamglue,games_video,,$0,,,,,,
GenArts,games_video,15.0,$22.4M,USA,Cambridge,955 Massachusetts Ave,02139,42.369007,-71.110276
Lexy,games_video,,$1.71M,USA,San Francisco,589 Howard Street,94105,37.786906,-122.397672
NewsEndorser,games_video,3.0,$0,,,,,,
Stereogum,games_video,,$0,,,,,,
Sportstation,games_video,1.0,$0,GBR,Amersham,,HP6 5AE,51.678254,-0.572355
Sexinema,games_video,,$0,,,,,,
Digimix,games_video,,$0,USA,New York,Main St,10044,,
IBTgames,games_video,11.0,$25k,BGD,Dhaka,"169, North Gulshan Avenue,",1212,23.797333,90.401432
Zaplife,games_video,,$0,,,,,,
GamerVixens,games_video,3.0,$0,,,,,,
LorenzGames,games_video,3.0,$0,,,,,,
Ku6,games_video,,$40M,CHN,Beijing,,,,
12seconds,games_video,3.0,$0,,,,,,
Mightybytes,games_video,8.0,$0,USA,Chicago,5235 N. Clark St.,60640,41.977257,-87.668365
Moondo,games_video,,$6M,,,,,,
Jootware,games_video,2.0,$0,USA,Seattle,1808 Bellevue Ave,98122,47.6141,-122.33763
iStreamPlanet,games_video,50.0,$15M,USA,Las Vegas,6630 West Arby Ave.,89118,36.059658,-115.23671
LOG607,games_video,6.0,$600k,ITA,Roncade TV,Via Sile 41,31056,45.564209,12.436354
blippr,games_video,2.0,$0,,,,,,
MySpace Music,games_video,,$0,USA,Beverly Hills,,,,
Mixcloud,games_video,8.0,$0,GBR,London,Tabernacle Street,,51.5399105,-0.2859795
Anvato,games_video,,$2.55M,USA,Mountain View,465 N. Whisman Road,94043,37.400689,-122.0572
Six Degrees Games,games_video,,$18M,USA,Marina del Rey,4223 Glencoe Boulevard,90292,,
Atari,games_video,400.0,$7.26M,USA,New York,417 Fifth Avenue,10016,,
ngmoco,games_video,150.0,$44.8M,USA,San Francisco,185 Berry Street,94107,37.7705096,-122.4015807
Network Foundation Technologies,games_video,,$1.44M,USA,Century City,10250 Constellation Blvd.,90067,34.057646,-118.417382
Illumina Digital,games_video,55.0,$0,GBR,London,Canham Road,W3 7SR,51.503612,-0.25628
Tribe of Noise,games_video,10.0,$0,NLD,Amsterdam,Wilhelminastraat 184 hs,1054 WT,,
NuZoo Media,games_video,,$0,,,,,,
GSN,games_video,,$0,,,,,,
Tunestory,games_video,,$0,,,,,,
youCharades,games_video,15.0,$0,,,,,,
Pwned,games_video,10.0,$0,,,,,,
CycleBiker,games_video,1.0,$0,,,,,,
imthemusic,games_video,3.0,$0,,,,,,
InChairTV,games_video,,$0,USA,New York,PO Box 1677,10026,40.80405,-73.952833
Popcuts,games_video,,$0,USA,,,,,
Canwest,games_video,,$24M,CAN,Winnipeg,3100-201 Portage Ave,MB R3B 3L7,,
Sandlot Games,games_video,,$0,USA,,,,,
Veveo,games_video,,$14M,USA,Andover,40 Shattuck Road,01810,42.687142,-71.212156
GoYoDeo,games_video,6.0,$150k,USA,Nashville,1305 Clinton Street,37203,36.163965,-86.796377
AccuConference,games_video,,$0,USA,Ft Worth,6300 Ridglea Place,76116,32.724783,-97.416646
Tubefilter,games_video,12.0,$0,USA,Los Angeles,5405 Wilshire Blvd,90036,34.070436,-118.350486
IndieMundo,games_video,2.0,$0,,,,,,
UltiZen,games_video,,$15.5M,CHN,Shanghai,879 Zhong Jiang Rd.,200333,,
LivePlace,games_video,,$0,,,,,,
Snipd,games_video,2.0,$15k,USA,Palo Alto,,,37.437328,-122.159928
ModernMethod,games_video,47.0,$0,USA,Miami,4500 Biscayne Blvd,33137,25.817674,-80.18874
1Cast,games_video,,$0,USA,Kirkland,10519 NE 38th Place,98033,47.656975,-122.205614
DeNA,games_video,2192.0,¥2.21B,JPN,Tokyo,"Shibuya Hikarie, 2-21-1",150-8510,,
Vollee,games_video,,$7.5M,ISR,Hertzilya,1 Hachoshlim Street,46733,,
Groopi,games_video,1.0,$0,GBR,Newbury,,RG14,51.417565,-1.313068
MyElephantBites,games_video,,$0,GBR,Oxford,96 Banbury Road,OX2 6JT,51.7691138,-1.261946
twit+,games_video,1.0,$0,GBR,Corby,,NN18,52.472029,-0.698361
Nonstop Riot,games_video,,$0,USA,Hollywood,4316 Melrose Avenue,90029,,
Gossip Craze,games_video,6.0,$0,,,,,,
OnAir Streaming Networks,games_video,,$0,USA,Irvine,14988 Sand Canyon Avenue 6,92618,,
PopScreen,games_video,,$0,,,,,,
PPTV,games_video,,$287M,CHN,Shanghai,Shanghai Zhangjiang Hi-Tech Park,20000,,
Shattered Reality Interactive,games_video,10.0,$1.1M,USA,San Francisco,490 2nd Street,94107,37.783046,-122.394067
THE Movie Streamer,games_video,2.0,$0,,,,,,
Whooligan,games_video,2.0,$0,,,,,,
Wevod,games_video,8.0,€300k,FRA,Paris,97 rue du Cherche Midi,75006,48.846726,2.321213
GazoPa,games_video,7.0,$0,JPN,"Shinagawa-ku, Tokyo",Gazopa project team,140-8572,,
PlayPhone,games_video,,$95.1M,USA,San Francisco,114 Sansome Street,94104,,
plaYce,games_video,7.0,$0,USA,San Francisco,,94123,37.80204,-122.438231
Sports Data Hub,games_video,1.0,$0,,,,,,
Bojam,games_video,5.0,$0,USA,Palo Alto,540 University Ave,94301,37.448598,-122.158497
360 Sports Software,games_video,1.0,$0,USA,Levittown,P.O. Box 644,11756,40.72267,-73.518183
18D Information Technology China,games_video,50.0,$0,CHN,Shanghai,546 Yuyuan Road,200040,,
Tweegee,games_video,22.0,$3M,ISR,Ramat Gan,B.S.R 1,,32.037363,34.8003705
Vayersoft,games_video,40.0,$0,UKR,Lviv,Lviv,79022,,
Project Amarillo,games_video,5.0,$0,USA,Amarillo,4401 S Coulter St,79109,33.5159679,-101.905099
Utagoe,games_video,15.0,$0,JPN,Tokyo,"5-10-1 #1001, Shinjuku",160-0022,,
NYX Interactive,games_video,,€5M,SWE,Stockholm,Sandhamnsgatan 63 C,115 28,,
Linkua,games_video,5.0,$0,ESP,,,,,
2pad,games_video,6.0,$0,ISR,Raanana,Ravutsky 29,43220,,
Ticketsreview,games_video,,$0,,,,,,
Kidos,games_video,,$200k,USA,New York,"355 E. 72nd St., Suite 4E",10021,40.768058,-73.956599
Toobla,games_video,,$0,,,,,,
Gamelet,games_video,7.0,$220k,TWN,Taipei,"Suite 561, 5F, No. 19-11",,,
Hangout Industries,games_video,,$12M,USA,Boston,110 Chauncy Street,02111,42.352835,-71.0609612
Groove Club,games_video,5.0,$83k,USA,Lyndhurst,"552 Valley Brook Ave, Suite 1",07071,40.809076,-74.119948
Apptism,games_video,,$0,,,,,,
GoYoDeo,games_video,6.0,$150k,USA,Nashville,1305 Clinton Street,37203,36.163965,-86.796377
AccuConference,games_video,,$0,USA,Ft Worth,6300 Ridglea Place,76116,32.724783,-97.416646
Tubefilter,games_video,12.0,$0,USA,Los Angeles,5405 Wilshire Blvd,90036,34.070436,-118.350486
IndieMundo,games_video,2.0,$0,,,,,,
UltiZen,games_video,,$15.5M,CHN,Shanghai,879 Zhong Jiang Rd.,200333,,
LivePlace,games_video,,$0,,,,,,
Snipd,games_video,2.0,$15k,USA,Palo Alto,,,37.437328,-122.159928
ModernMethod,games_video,47.0,$0,USA,Miami,4500 Biscayne Blvd,33137,25.817674,-80.18874
1Cast,games_video,,$0,USA,Kirkland,10519 NE 38th Place,98033,47.656975,-122.205614
DeNA,games_video,2192.0,¥2.21B,JPN,Tokyo,"Shibuya Hikarie, 2-21-1",150-8510,,
Vollee,games_video,,$7.5M,ISR,Hertzilya,1 Hachoshlim Street,46733,,
Groopi,games_video,1.0,$0,GBR,Newbury,,RG14,51.417565,-1.313068
MyElephantBites,games_video,,$0,GBR,Oxford,96 Banbury Road,OX2 6JT,51.7691138,-1.261946
twit+,games_video,1.0,$0,GBR,Corby,,NN18,52.472029,-0.698361
Nonstop Riot,games_video,,$0,USA,Hollywood,4316 Melrose Avenue,90029,,
Gossip Craze,games_video,6.0,$0,,,,,,
OnAir Streaming Networks,games_video,,$0,USA,Irvine,14988 Sand Canyon Avenue 6,92618,,
PopScreen,games_video,,$0,,,,,,
PPTV,games_video,,$287M,CHN,Shanghai,Shanghai Zhangjiang Hi-Tech Park,20000,,
Shattered Reality Interactive,games_video,10.0,$1.1M,USA,San Francisco,490 2nd Street,94107,37.783046,-122.394067
THE Movie Streamer,games_video,2.0,$0,,,,,,
Whooligan,games_video,2.0,$0,,,,,,
Wevod,games_video,8.0,€300k,FRA,Paris,97 rue du Cherche Midi,75006,48.846726,2.321213
GazoPa,games_video,7.0,$0,JPN,"Shinagawa-ku, Tokyo",Gazopa project team,140-8572,,
PlayPhone,games_video,,$95.1M,USA,San Francisco,114 Sansome Street,94104,,
plaYce,games_video,7.0,$0,USA,San Francisco,,94123,37.80204,-122.438231
Sports Data Hub,games_video,1.0,$0,,,,,,
Bojam,games_video,5.0,$0,USA,Palo Alto,540 University Ave,94301,37.448598,-122.158497
360 Sports Software,games_video,1.0,$0,USA,Levittown,P.O. Box 644,11756,40.72267,-73.518183
18D Information Technology China,games_video,50.0,$0,CHN,Shanghai,546 Yuyuan Road,200040,,
Tweegee,games_video,22.0,$3M,ISR,Ramat Gan,B.S.R 1,,32.037363,34.8003705
Vayersoft,games_video,40.0,$0,UKR,Lviv,Lviv,79022,,
Project Amarillo,games_video,5.0,$0,USA,Amarillo,4401 S Coulter St,79109,33.5159679,-101.905099
Utagoe,games_video,15.0,$0,JPN,Tokyo,"5-10-1 #1001, Shinjuku",160-0022,,
NYX Interactive,games_video,,€5M,SWE,Stockholm,Sandhamnsgatan 63 C,115 28,,
Linkua,games_video,5.0,$0,ESP,,,,,
2pad,games_video,6.0,$0,ISR,Raanana,Ravutsky 29,43220,,
Ticketsreview,games_video,,$0,,,,,,
Kidos,games_video,,$200k,USA,New York,"355 E. 72nd St., Suite 4E",10021,40.768058,-73.956599
Toobla,games_video,,$0,,,,,,
Gamelet,games_video,7.0,$220k,TWN,Taipei,"Suite 561, 5F, No. 19-11",,,
Hangout Industries,games_video,,$12M,USA,Boston,110 Chauncy Street,02111,42.352835,-71.0609612
Groove Club,games_video,5.0,$83k,USA,Lyndhurst,"552 Valley Brook Ave, Suite 1",07071,40.809076,-74.119948
Apptism,games_video,,$0,,,,,,
Muzui,games_video,,$0,,,,,,
Shiftpop,games_video,2.0,$0,,,,,,
Endavo Media and Communications,games_video,15.0,$0,USA,Atlanta,6 West Druid Hills Drive NE,30329,33.8317964,-84.3391231
Vidiac,games_video,20.0,$0,,,,,,
Brightstorm,games_video,,$6M,USA,San Francisco,"685 Market St. Street, Suite 270",94105,37.804619,-122.371203
Visionary Networks,games_video,,$0,USA,Portland,7412 SW Beaverton Hillsdale Highway,97225,,
GeogTV,games_video,4.0,$0,,,,,,
OUTSHOUTS,games_video,,$0,USA,Menlo Park,,,37.48413,-122.169472
Club Scene Network,games_video,36.0,$225k,,,,,,
TWIOA,games_video,5.0,$0,USA,Toledo,,,41.65292,-83.577782
Fat Dalmation,games_video,8.0,$0,ISR,Rishpon,Hashaked 13a,46915,,
Wikeez,games_video,50.0,$250k,LBN,Beirut,"3rd Floor, Feghali Building",,,
Heatwave Interactive,games_video,,$12.6M,USA,Austin,Tower of the Hills,78750,30.297775,-97.762921
PlayCrafter,games_video,,$0,,,,,,
YoYo Games,games_video,26.0,$0,GBR,Dundee,River Court 5,DD1 3JT,,
Equedia,games_video,,$0,CAN,Vancouver,Suite 1400 - 400 Burrard Street,V6C 3G2,49.2871668,-123.1169693
schmedley,games_video,,$0,,,,,,
PlisTube,games_video,,$0,COL,Bogota,Diag 27 2-13,,,
MP3Tunes,games_video,,$0,USA,San Diego,5960 Cornerstone Court W,92121,32.895267,-117.191342
Radio One Llama,games_video,10.0,$1M,USA,Champaign,,,40.1128,-88.271074
Whereismyboss,games_video,100.0,$0,IND,,,,,
Videofropper,games_video,3.0,$0,IND,Kolkata,"108, Rajdanga Road",700037,22.51328,88.387327
SnackFeed,games_video,2.0,$0,,,,,,
BuzzPal,games_video,1.0,$0,,,,,,
FanPrice,games_video,,$0,USA,Los Angeles,11693 San Vicente Blvd,90049,38.233786,-122.636071
ReplayGamez,games_video,10.0,$0,USA,Flowermound,,,29.550027,-95.693347
Absolute Punk,games_video,,$0,,,,,,
Ilse media,games_video,,$0,NLD,Amsterdam,Rijnsburgstraat 11,1059 AT,,
Musicreview,games_video,5.0,$0,IRL,dublin,14 cherryorchard park,d10,53.335773,-6.371726
Denook,games_video,2.0,$0,USA,Miami,14707 SW 37 Terrace,33185,25.733027,-80.432061
SportsGenie,games_video,,$0,USA,Los Angeles,PO Box 515381,90051-6681,34.0522,-118.2429
One Season,games_video,,$3.75M,USA,San Francisco,,,37.775196,-122.419204
VooVeo,games_video,1.0,$0,,,,,,
MXP4,games_video,15.0,$17M,FRA,Paris,54 Rue Paradis,75010,,
TutCast,games_video,2.0,$0,,,,,,
Fusion Creative Studios,games_video,12.0,$0,USA,Branford,5-B Tipping Drive,06405,41.303696,-72.768842
Noteflight,games_video,4.0,$0,USA,,Hamilton St,02139,,
K'NEX Industries,games_video,,$0,USA,Hatfield,2990 Bergey Road,19440 0700,,
Meteor Games,games_video,70.0,$0,USA,Beverly Hills,,90210,34.09316,-118.378335
Apaja,games_video,44.0,€1.75M,FIN,Helsinki,Mikonkatu 19,00100,60.171821,24.945167
THQ,games_video,,$0,USA,Agoura Hills,29903 Agoura Road,91301,34.145984,-118.776083
BrushVideo,games_video,1.0,$0,BEL,,,,,
PlayNetwork,games_video,122.0,$0,,,,,,
Sceneclips,games_video,4.0,$0,USA,Los Angeles,,90017,34.05438,-118.26728
DigitalDeejay,games_video,12.0,$0,FRA,CALUIRE ET CUIRE,19 MONTEE DE L EGLISE,69300,45.792717,4.830048
Mybandstock,games_video,19.0,$0,USA,Los Angeles,3475 Ben Lomond Place,90027,42.2802675,-83.7420579
Large Animal Games,games_video,,$0,USA,New York,115 W. 29th St. 11th fl,10001,,
echomusic,games_video,,$0,USA,Nashville,1101 17th Avenue South,37212,,
Booyah,games_video,,$59.5M,USA,San Francisco,"139 Townsend Street, 3rd Floor",94107,37.420728,-122.2103414
TVT Records,games_video,,$0,USA,New York,23 East 4th Street,10003,,
Good Call Sports,games_video,,$0,USA,Tucson,2818 N. Campbell Ave.,85719,32.258001,-110.942493
GotGame,games_video,15.0,$1M,USA,San Francisco,1 Bluxome Place,94107,37.77772,-122.395785
Klection,games_video,1.0,$0,,,,,,
The Game Creators,games_video,7.0,$25k,GBR,"Macclesfiled, Cheshire",4 Nancy View,SK10 5QG,53.296176,-2.092073
Karo Internet,games_video,10.0,€850k,DEU,Cologne,KÃ¶lner str 89,50859,50.947112,6.842133
Xtranormal,games_video,0.0,$0,CAN,Montreal,5555 av.Casgrain,H2T 1Y1,,
For Your Imagination,games_video,10.0,$1.3M,USA,New York,22 West 27th Street,10001,40.744594,-73.989698
PokerDIY,games_video,1.0,$0,,,,,,
PhotoFunia,games_video,4.0,$0,,,,,,
deltatre,games_video,225.0,$0,ITA,Torino,via millio 41,10141,45.058576,7.649614
SureSpeak,games_video,8.0,$1.6M,USA,Chicago,29 S Lasalle St,60603,41.889183,-87.632519
Sonichall,games_video,2.0,$0,CAN,Vancouver,,,49.263588,-123.138565
The Artist Group,games_video,,$0,CAN,Toronto,847 Adelaide St. West,M6J 3X1,,
SonicLiving,games_video,10.0,$0,USA,San Francisco,1211 Folsom St,94103,37.8448035,-122.290897
Games2Win,games_video,,$13M,IND,"Tardeo,Mumbai","42, Film Center,",,18.9742904,72.8127265
BAM Studios,games_video,6.0,$0,USA,Chicago,One East Erie Street,60611,41.893622,-87.627423
Indiagames,games_video,300.0,$0,IND,Navi-Mumbai,"Indiagames Ltd., Vishwaroop IT Park, Vashi International Info-Tech Park,",400705,,
Bright Things,games_video,,$800k,GBR,Wiltshire SP3 6PY,Ashley Wood,SP3 6PY,,
NetTags,games_video,1.0,$0,,,,,,
Madhouse Media,games_video,,$0,IND,Delhi,East of Kailash,110065,,
Blizzard Entertainment,games_video,,$0,USA,Irvine,P.O. Box 18979,92623,33.6695,-117.8222
telewebber,games_video,3.0,$0,DEU,Bretten,Dr. Alfred-Neff-Str. 15,75015,49.03767,8.714079
Atlantic Records,games_video,,$0,USA,New York,1290 Avenue of the Americas,10104,,
WebCeleb,games_video,3.0,$0,,,,,,
Star Fever Agency,games_video,5.0,$550k,CAN,Quebec,"410, boul Charest,",G1K 8M4,46.8081938,-71.2373393
Singing Fish,games_video,,$0,,,,,,
Awdio,games_video,,€1.5M,FRA,Paris,33 rue Stephenson,75018,48.887534,2.356288
Vividas,games_video,,$0,AUS,Victoria,157 High Street,3181,,
Nullsoft,games_video,,$0,USA,,,,,
MovieFone,games_video,,$0,USA,Chicago,50 S La Salle St,60603,,
Totlol,games_video,0.0,$0,,,,,,
Indomite Music,games_video,4.0,$0,ISR,Ramat Gan,,,,
Yobler,games_video,15.0,$0,ROM,Bucharest,Str Lanariei nr 130-132,040324,,
Rocudo,games_video,6.0,$0,IRL,,,,,
Reflexive Entertainment,games_video,,$0,USA,Lake Forest,21068 Bake Parkway,92630,,
38 Studios,games_video,49.0,$0,USA,Maynard,5 Clock Tower Place,01754,42.431652,-71.455658
Mobuzz,games_video,,$0,,,,,,
Citizenside,games_video,12.0,€1.04M,FRA,Paris,Level 5,75003,48.8926988,2.3179601
JamLegend,games_video,,$2M,,,,,,
Zadby,games_video,,$0,USA,Reston,# 11480 Commerce Park Dr,20191,38.947914,-77.342896
SPIL GAMES,games_video,300.0,$0,NLD,Hilversum,Arendstraat 23,1223RE,52.220726,5.198824
Compete-At,games_video,12.0,$0,USA,Bethesda,4905 Del Ray Ave,20814,38.9897861,-77.0989247
Global Media Exchange,games_video,,$0,,,,,,
inDplay,games_video,,$0,USA,Venice,P.O. Box 2698,90294,33.9905,-118.4595
HourVille,games_video,,$0,USA,Austin,,,,
TeacherTube,games_video,25.0,$0,USA,Melissa,,75454,,
Verismo Networks,games_video,,$17M,USA,Mountain View,1451 Grant Road #200,94040,37.3874345,-122.051793
Summit Entertainment,games_video,,$0,USA,Santa Monica,1630 Stewart Street,90404,,
